date,KOSPI_ETF_ADR_20d_pct,KOSPI_STOCKS_ADR_20d_pct
20260611,95.312500,
20260612,99.166035,
20260618,131.922399,
20260619,136.298293,
20260623,109.402390,
20260624,110.336538,
20260626,112.277868,
20260629,108.578237,
20260630,107.430830,
20260701,106.530291,
20260702,104.839969,
20260706,122.457627,
20260708,104.996097,
20260710,106.509804,
20260714,86.209335,
20260715,91.153009,
20260716,86.808511,
20260720,82.928522,
20260721,87.553343,83.500640
20260722,100.608828,79.787274
20260723,102.453988,82.396427
20260728,94.191176,72.209104
20260803,86.197183,71.858805
20260804,96.944858,80.050869
20260805,111.270983,91.086755
20260806,116.000000,87.562268
20260807,111.609287,92.462720
20260810,107.064364,92.175573
20260811,117.215815,90.196236
20260812,122.428331,93.381089
20260813,120.871752,96.267541
20260814,135.867621,107.316752
20260818,136.714542,112.226662
20260819,119.301165,110.702341
20260820,116.844700,117.411516
20260821,109.856916,120.249149
20260824,115.252855,118.213757
20260825,117.559769,120.903902
20260826,134.608541,119.826622
20260827,153.949904,129.318403
20260828,151.240458,133.803033
20260831,140.164684,125.006377
20260901,153.972868,117.859152
20260902,131.360424,117.334532
20260903,127.811683,117.146139
20260904,141.219963,118.299234
20260907,156.329735,111.879474
