market,asof_date,advance_decline_ratio_1d,adr,index_impulse,up_count,down_count,flat_count,skipped_count,universe_count
KOSPI,20260921,0.43044189852700493,0.43044189852700493,GREEN,263,611,39,0,913
KOSDAQ,20260921,0.5135379061371841,0.5135379061371841,GREEN,569,1108,56,0,1733
