date,market,rep_etf,daily_ret_pct,adv_ratio_proxy,atr_pct,rv20_ann,vol_z,fg_score,fg_stage
20260810,KOSPI,069500,0.178408,0.65,8.616496,1.184103479,1.540884,51.15,NEUTRAL
20260810,KOSDAQ,229200,8.636531,0.65,6.993041,0.96631138,0.970147,100.0,EXTREME_GREED
