timestamp,open,high,low,close,volume,sma5,sma10,sma20,sma60,sma120,rsi14,macd,macd_signal,macd_hist,bb_mid,bb_upper,bb_lower,bb_width,bb_percent_b,atr14,prev20_high,prev20_low,prev60_high,prev60_low,return_1,return_5,return_20,return_60
2014-09-05,15526.9404296875,15829.3798828125,15516.5,15668.6796875,480900000.0,,,,,,,,,,,,,,,,,,,,,,,
2014-09-12,15718.1298828125,15984.900390625,15656.400390625,15948.2900390625,625100000.0,,,,,,,,,,,,,,,,,,,,0.017845176309626343,,,
2014-09-19,15896.0595703125,16364.080078125,15871.1201171875,16321.169921875,550400000.0,,,,,,,,,,,,,,,,,,,,0.023380555651997703,,,
2014-09-26,16281.3603515625,16374.1396484375,16087.9501953125,16229.8603515625,538500000.0,,,,,,,,,,,,,,,,,,,,-0.005594548108350916,,,
2014-10-03,16339.0302734375,16344.3203125,15559.0703125,15708.650390625,712600000.0,15975.330078125,,,,,,,,,,,,,,,,,,,-0.032114260360060376,,,
2014-10-10,15882.2802734375,15970.650390625,15221.830078125,15300.5498046875,739700000.0,15901.7041015625,,,,,,,,,,,,,,,,,,,-0.02597935378210825,-0.023494633252741925,,
2014-10-17,15036.8701171875,15089.900390625,14529.0302734375,14532.509765625,716300000.0,15618.548046875,,,,,,,,,,,,,,,,,,,-0.05019689154093021,-0.08877317066405221,,
2014-10-24,14822.83984375,15377.0498046875,14761.83984375,15291.6396484375,683800000.0,15412.6419921875,,,,,,,,,,,,,,,,,,,0.052236667654484314,-0.06307944089581696,,
2014-10-31,15404.2802734375,16533.91015625,15263.3603515625,16413.759765625,844700000.0,15449.421875,,,,,,,,,,,,,,,,,,,0.07338128173208402,0.01133093015460207,,
2014-11-07,16732.849609375,17127.66015625,16720.990234375,16880.380859375,920100000.0,15683.76796875,15829.5490234375,,,,,,,,,,,,,,,,,,0.028428653788831193,0.07459141553301696,,
2014-11-14,16758.26953125,17520.5390625,16713.369140625,17490.830078125,828700000.0,16121.8240234375,16011.7640625,,,,,,,,,,,,,,,,,,0.03616323730106896,0.14315042932421185,,
2014-11-21,17381.380859375,17472.5703125,16907.4296875,17357.509765625,821300000.0,16686.8240234375,16152.68603515625,,,,,,,,,,,,,,,,,,-0.007622297621354024,0.19439174963998407,,
2014-11-28,17490.390625,17490.390625,17212.48046875,17459.849609375,585300000.0,17120.466015625,16266.55400390625,,,,,,,,,,,,,,,,,,0.005895998051095752,0.14179054769702537,,
2014-12-05,17475.099609375,17922.2890625,17474.26953125,17920.44921875,680900000.0,17421.80390625,16435.612890625,,,,,,,,,,,,,518.3098090461237,,,,,0.026380502677851414,0.09179429177953669,,
2014-12-12,18004.66015625,18030.830078125,17043.630859375,17371.580078125,810600000.0,17520.04375,16601.905859375,,,,72.25269617783661,,,,,,,,,551.8019097392578,,,,,-0.030628090508508232,0.029098823234026572,,
2014-12-19,17111.490234375,17621.400390625,16672.939453125,17621.400390625,830100000.0,17546.1578125,16833.99091796875,,,,73.50572901699039,,,,,,,,,580.1346974364536,,,,,0.014380978090449137,0.007465072378886051,,
2014-12-26,17685.529296875,17875.41015625,17572.619140625,17818.9609375,427800000.0,17638.448046875,17162.63603515625,,,,74.48693775663779,,,,,,,,,560.3244344499212,,,,,0.01121139878191002,0.026585102247147496,,
2015-01-02,17914.55078125,17914.55078125,17450.76953125,17450.76953125,213500000.0,17636.63203125,17378.5490234375,,,,69.33334940205359,,,,,,,,,553.4284927034983,,,,,-0.020662899904289156,-0.0005200547729875549,,
2015-01-09,17325.6796875,17540.919921875,16808.259765625,17197.73046875,716900000.0,17492.08828125,17456.94609375,,,,65.95595170639089,,,,,,,,,566.2307543853913,,,,,-0.014500166428011663,-0.04032927641366413,,
2015-01-16,16970.880859375,17141.98046875,16592.5703125,16864.16015625,616500000.0,17390.604296875,17455.3240234375,16642.4365234375,,,61.68978535187717,,,,16642.4365234375,18549.222849547947,14735.650197327053,0.22914749573178475,0.5581406604862702,569.0114259471491,,,,,-0.019396182136133033,-0.029209773641372117,,
2015-01-23,17000.779296875,17532.060546875,16911.580078125,17511.75,651400000.0,17368.67421875,17457.416015625,16734.5900390625,,,66.25342012246226,,,,16734.5900390625,18622.277968958017,14846.902109166982,0.22560312807056598,0.7058496927986704,576.0749234241384,18030.830078125,14529.0302734375,,,0.038400361343224,-0.006222569613896112,0.11762767184336198,
2015-01-30,17285.7109375,17850.58984375,17285.7109375,17674.390625,706700000.0,17339.76015625,17489.1041015625,16820.895068359376,,,67.3067586383737,,,,16820.895068359376,18714.717388063942,14927.072748654811,0.2251749757677169,0.7253367561888721,575.2752079117,18030.830078125,14529.0302734375,,,0.009287514097677363,-0.00811328522505217,0.10823107566452106,
2015-02-06,17536.609375,17743.109375,17271.869140625,17648.5,820100000.0,17379.30625,17507.969140625,16887.261572265626,,,66.94851594820155,,,,16887.261572265626,18799.324821067203,14975.19832346405,0.2264503620814171,0.6990620415437342,567.8441383733643,18030.830078125,14529.0302734375,,,-0.0014648666281811273,0.01133075927659899,0.08132566994146662,
2015-02-13,17790.310546875,18005.44921875,17550.029296875,17913.359375,596600000.0,17522.43203125,17507.26015625,16971.4365234375,,,68.77922703324775,,,,16971.4365234375,18908.38883182234,15034.484215052662,0.22826026609001707,0.7431455972057303,559.8138371949098,18030.830078125,14529.0302734375,,,0.015007472306428404,0.04161182241752015,0.10372849716328125,
2015-02-20,18024.009765625,18360.919921875,17901.259765625,18332.30078125,786700000.0,17816.06015625,17603.3322265625,17102.61904296875,,,71.47099766675655,,,,17102.61904296875,19035.082075843813,15170.156010093686,0.22598445630109973,0.8181643626195956,552.660002841702,18030.830078125,14529.0302734375,,,0.023387093257040137,0.08705684785944667,0.16701946541447055,
2015-02-27,18499.580078125,18865.390625,18402.01953125,18797.939453125,772000000.0,18073.298046875,17720.9861328125,17277.488525390625,,,74.13974602090602,565.9775337116807,,,17277.488525390625,19158.29356063624,15396.68349014501,0.21771741100931713,0.9042021632337395,551.2621343351518,18360.919921875,14529.0302734375,,,0.025399903559909287,0.07344722561280292,0.2285793447347908,
2015-03-06,18869.400390625,18979.640625,18586.83984375,18971.0,701900000.0,18332.619921875,17836.1900390625,17499.413037109374,,,75.07305161247606,622.8194797589422,,,17499.413037109374,19050.876916680107,15947.94915753864,0.17731610497799993,0.9742575648289642,539.943466257641,18865.390625,14529.0302734375,,,0.00920635728753938,0.07336090972019016,0.30541801147615555,
2015-03-13,18872.9609375,19335.80078125,18577.060546875,19254.25,773800000.0,18653.769921875,18016.5380859375,17697.5435546875,,,76.56389830410484,682.8515516790612,,,17697.5435546875,19072.699999514585,16322.387109860418,0.15540647667600735,1.0660106714288218,555.5718068374524,18979.640625,14761.83984375,,,0.0149306836750831,0.09098506955265329,0.25913573970253734,
2015-03-20,19245.380859375,19565.439453125,19226.7109375,19560.220703125,683800000.0,18983.1421875,18252.787109375,17854.8666015625,,,78.08841529455057,746.5113615332375,,,17854.8666015625,19323.316856725283,16386.416346399714,0.1644873958379817,1.0806645800791717,540.0830003222773,19335.80078125,15263.3603515625,,,0.01589107356168129,0.09193481209467436,0.19169653890570326,
2015-03-27,19607.98046875,19778.599609375,19099.869140625,19285.630859375,744400000.0,19173.808203125,18494.9341796875,17975.1291015625,,,73.4694670772839,765.9754260311456,,,17975.1291015625,19497.622666804746,16452.635536320253,0.16940001450224942,0.9303800645633549,549.9863909242574,19565.439453125,16592.5703125,,,-0.014038177171801114,0.05200275129131926,0.1424878988239282,
2015-04-03,19295.2109375,19607.25,18927.94921875,19435.080078125,700100000.0,19301.236328125,18687.2671875,18072.3416015625,,,74.35845237877173,784.4178595291523,,,18072.3416015625,19703.159751311792,16441.52345181321,0.18047668483737536,0.9178082261262531,559.2231330903819,19778.599609375,16592.5703125,,,0.007749252271794349,0.03389417369860093,0.11115824642488437,
2015-04-10,19295.029296875,20006.0,19241.2890625,19907.630859375,630500000.0,19488.5625,18910.5912109375,18199.84765625,,,76.98453225607713,827.6241833150088,,,18199.84765625,19979.172551500513,16420.522760999487,0.19553184497557877,0.9798963943244776,573.9008334053547,19778.599609375,16592.5703125,,,0.024314321286583063,0.04937171785224814,0.14691745118878097,
2015-04-17,19967.380859375,19975.66015625,19638.369140625,19652.880859375,702700000.0,19568.288671875,19111.029296875,18309.49921875,,,72.66403626572493,831.7217397476306,,,18309.49921875,20161.699234467647,16457.29920303235,0.20232120972712206,0.8626448626566117,557.0001321353293,20006.0,16592.5703125,,,-0.012796600549785264,0.020703525682641555,0.1256042462600857,
2015-04-24,19501.0,20252.119140625,19474.23046875,20020.0390625,850700000.0,19660.25234375,19321.697265625,18414.4787109375,,,74.8543982369309,854.7427390281991,758.8356890625421,95.90704996565705,18414.4787109375,20399.79466917083,16429.162752704167,0.21562554003270587,0.9043588993741924,572.7778849738772,20006.0,16592.5703125,,,0.018682156868103927,0.023507830834523125,0.11716167480630002,
2015-05-01,20063.80078125,20133.779296875,19399.16015625,19531.630859375,605400000.0,19709.45234375,19441.6302734375,18522.48125,,,67.14676577241177,824.0771383402935,771.8839789180925,52.193159422201006,18522.48125,20504.12186654161,16540.840633458392,0.2139713993816685,0.7546247793245638,584.3379746632431,20252.119140625,16592.5703125,,,-0.024395966541336467,0.012755610733906408,0.12434394404744009,
2015-05-08,19356.4609375,19461.080078125,19257.849609375,19379.189453125,347300000.0,19698.27421875,19499.7552734375,18610.370703125,,,64.90052370985194,778.4996223359194,773.2071076016579,5.292514734261545,18610.370703125,20580.24424101491,16640.497165235094,0.21169632451857948,0.6951441895157248,562.1553514730115,20252.119140625,16592.5703125,,,-0.007804847805467752,-0.0028757599544396717,0.09975308565346408,
2015-05-15,19637.580078125,19791.880859375,19467.650390625,19732.919921875,961600000.0,19663.33203125,19575.947265625,18706.06865234375,,,67.60833811016481,762.1367668785206,770.9930394570305,-8.856272578509902,18706.06865234375,20698.68673708004,16713.450567607462,0.21304509480527606,0.7576638437132189,551.4793553856534,20252.119140625,16592.5703125,,,0.018253109584671412,-0.008776078817923416,0.10741136877106428,
2015-05-22,19766.16015625,20320.900390625,19741.220703125,20264.41015625,890600000.0,19785.637890625,19676.96328125,18846.75068359375,,,71.20311007683605,783.0296279731083,773.4003571602461,9.62927081286216,18846.75068359375,20862.16418157058,16831.337185616918,0.2138738429570531,0.8517043708597182,554.0865777688211,20252.119140625,16592.5703125,,,0.02693419101071881,0.031116521860116153,0.1612330401797737,
2015-05-29,20331.919921875,20655.330078125,20318.5390625,20563.150390625,937900000.0,19894.26015625,19777.25625,19015.0216796875,,,73.01582837105153,814.3063939321364,781.5815645146242,32.72482941751218,19015.0216796875,21013.516891687865,17016.526467687134,0.21020172847188776,0.8873235976852613,542.4318166335482,20320.900390625,16592.5703125,,,0.014742113492154152,0.027128385036086833,0.19568977011183564,
