timestamp,open,high,low,close,volume,sma5,sma10,sma20,sma60,sma120,sma240,rsi14,macd,macd_signal,macd_hist,bb_mid,bb_upper,bb_lower,bb_width,bb_percent_b,atr14,prev20_high,prev20_low,prev60_high,prev60_low,return_1,return_5,return_20,return_60
2014-09-02,17097.419921875,17113.509765625,17009.0703125,17067.560546875,64820000.0,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-03,17067.240234375,17151.890625,17060.2109375,17078.279296875,62770000.0,,,,,,,,,,,,,,,,,,,,,0.0006280188648262186,,,
2014-09-04,17083.609375,17161.55078125,17030.119140625,17069.580078125,68120000.0,,,,,,,,,,,,,,,,,,,,,-0.0005093732570348175,,,
2014-09-05,17065.890625,17137.359375,17009.619140625,17137.359375,76630000.0,,,,,,,,,,,,,,,,,,,,,0.003970765336041238,,,
2014-09-08,17131.7109375,17137.880859375,17079.169921875,17111.419921875,65640000.0,17092.83984375,,,,,,,,,,,,,,,,,,,,-0.0015136201883494405,,,
2014-09-09,17110.390625,17111.55078125,16993.2890625,17013.869140625,69030000.0,17082.1015625,,,,,,,,,,,,,,,,,,,,-0.005700916796816613,-0.0031458160703481397,,
2014-09-10,17016.05078125,17080.26953125,16974.5703125,17068.7109375,76780000.0,17080.187890625,,,,,,,,,,,,,,,,,,,,0.003223358333234838,-0.0005602648374974928,,
2014-09-11,17057.41015625,17057.41015625,16983.880859375,17049.0,63650000.0,17076.071875,,,,,,,,,,,,,,,,,,,,-0.001154799420540642,-0.0012056581375059494,,
2014-09-12,17044.05078125,17044.05078125,16937.669921875,16987.509765625,82820000.0,17046.101953125,,,,,,,,,,,,,,,,,,,,-0.003606676894539307,-0.008744031451753287,,
2014-09-15,16988.759765625,17051.849609375,16951.380859375,17031.140625,71740000.0,17030.04609375,17061.44296875,,,,,,,,,,,,,,,,,,,0.002568408199728589,-0.0046915625495446145,,
2014-09-16,17027.16015625,17167.05078125,16985.55078125,17131.970703125,73200000.0,17053.66640625,17067.883984375,,,,,,,,,,,,,,,,,,,0.0059203361856452474,0.006941487648920663,,
2014-09-17,17131.009765625,17221.109375,17089.009765625,17156.849609375,87810000.0,17071.294140625,17075.741015625,,,,,,,,,,,,,,,,,,,0.0014521917344547663,0.005163756782673001,,
2014-09-18,17163.73046875,17275.369140625,17163.73046875,17265.990234375,85300000.0,17114.6921875,17095.38203125,,,,,,,,,,,,,,,,,,,0.0063613441561183315,0.012727446441140211,,
2014-09-19,17267.2109375,17350.640625,17257.4609375,17279.740234375,349620000.0,17173.13828125,17109.6201171875,,,,,,,,,,,,,,110.1054732446269,,,,,0.0007963632443521718,0.01720266671112336,,
2014-09-22,17271.7109375,17277.880859375,17159.359375,17172.6796875,74300000.0,17201.44609375,17115.74609375,,,,,60.91497684174361,,,,,,,,,110.83942939679642,,,,,-0.0061957266384145004,0.008310603829565943,,
2014-09-23,17165.91015625,17171.880859375,17055.869140625,17055.869140625,77090000.0,17186.22578125,17119.94609375,,,,,49.959659453212254,,,,,,,,,111.26593778809668,,,,,-0.006802115278492393,-0.004442078720466092,,
2014-09-24,17056.640625,17226.599609375,17033.9296875,17210.060546875,80530000.0,17196.86796875,17134.0810546875,,,,,60.1481932761792,,,,,,,,,117.08050808001835,,,,,0.009040372260052942,0.003101439874539924,,
2014-09-25,17204.859375,17204.859375,16945.80078125,16945.80078125,93520000.0,17132.830078125,17123.7611328125,,,,,43.71897318161496,,,,,,,,,127.59331219037419,,,,,-0.015354958508439709,-0.018544517214398315,,
2014-09-26,16948.619140625,17148.150390625,16948.109375,17113.150390625,74670000.0,17099.512109375,17136.3251953125,,,,,52.556820396221504,,,,,,,,,132.93304770356175,,,,,0.00987557988762422,-0.009640760884738198,,
2014-09-29,17107.689453125,17107.689453125,16934.4296875,17071.220703125,70220000.0,17079.2203125,17140.333203125,17100.8880859375,,,,50.42046770072351,,,,17100.8880859375,17268.57179187874,16933.204379996256,0.01961111084974978,0.4115376695488405,136.20359451937878,,,,,-0.0024501442775241022,-0.0059081626293217004,,
2014-09-30,17070.44921875,17145.099609375,17017.109375,17042.900390625,102290000.0,17076.6265625,17131.426171875,17099.655078125,,,,48.97250528063359,,,,17099.655078125,17268.65837275166,16930.651783498342,0.019766865922676815,0.3320899967501334,135.61692593763743,17350.640625,16934.4296875,,,-0.00165895063935384,-0.0007603687559439853,-0.0014448553548277454,
2014-10-01,17040.4609375,17041.16015625,16776.130859375,16804.7109375,104240000.0,16995.556640625,17096.2123046875,17085.97666015625,,,,38.86362788719945,,,,17085.97666015625,17298.393094396044,16873.56022591646,0.02486441816757697,-0.16206205669269524,144.98496917423478,17350.640625,16934.4296875,,,-0.013975875447586605,-0.023553061203413606,-0.016018496630691437,
2014-10-02,16808.26953125,16857.25,16674.0390625,16801.05078125,75490000.0,16966.606640625,17049.718359375,17072.5501953125,,,,38.73132335391375,,,,17072.5501953125,17318.68520585749,16826.415184767506,0.028834006370363176,-0.05152538735010467,147.715395483218,17350.640625,16776.130859375,,,-0.00021780536800741768,-0.008541939201844095,-0.015731453008567264,
2014-10-03,16802.19921875,17027.83984375,16802.19921875,17009.689453125,87940000.0,16945.914453125,17022.71328125,17066.16669921875,,,,49.322141437702214,,,,17066.16669921875,17311.869153324904,16820.464245112595,0.028794099862789028,0.3850698372158942,153.36351455584528,17350.640625,16674.0390625,,,0.012418191849514537,-0.0060456979070714345,-0.00744980128392736,
