timestamp,open,high,low,close,volume,ema5,ema10,ema20,ema60,ema120,rsi14,macd,macd_signal,macd_hist,bb_mid,bb_upper,bb_lower,bb_width,bb_percent_b,atr14,prev20_high,prev20_low,prev60_high,prev60_low,return_1,return_5,return_20,return_60
2026-08-11 09:30:00-04:00,26669.18359375,26676.07421875,26535.755859375,26543.373046875,147490937.0,,,,,,,,,,,,,,,,,,,,,,,
2026-08-11 09:40:00-04:00,26555.513671875,26580.423828125,26500.958984375,26517.33203125,237425000.0,,,,,,,,,,,,,,,,,,,,-0.0009810740925432215,,,
2026-08-11 09:50:00-04:00,26517.818359375,26570.0703125,26499.15234375,26565.826171875,209766000.0,,,,,,,,,,,,,,,,,,,,0.0018287714830380608,,,
2026-08-11 10:00:00-04:00,26572.505859375,26611.46484375,26565.68359375,26609.552734375,217065000.0,,,,,,,,,,,,,,,,,,,,0.0016459703612112797,,,
2026-08-11 10:10:00-04:00,26609.951171875,26618.99609375,26590.0234375,26592.28125,190062000.0,26575.13681520062,,,,,,,,,,,,,,,,,,,-0.0006490708260830091,,,
2026-08-11 10:20:00-04:00,26593.810546875,26605.853515625,26580.998046875,26605.853515625,172897000.0,26585.37571534208,,,,,,,,,,,,,,,,,,,0.0005103836522111216,0.002353900864056069,,
2026-08-11 10:30:00-04:00,26606.4375,26606.4375,26573.353515625,26579.4296875,150490000.0,26583.39370606139,,,,,,,,,,,,,,,,,,,-0.0009931584457337772,0.002341776170273091,,
2026-08-11 10:40:00-04:00,26581.419921875,26612.095703125,26575.96875,26610.048828125,134477000.0,26592.27874674926,,,,,,,,,,,,,,,,,,,0.0011519863663365104,0.0016646444934138582,,
2026-08-11 10:50:00-04:00,26609.86328125,26629.890625,26599.61328125,26609.75,125864000.0,26598.102497832842,,,,,,,,,,,,,,,,,,,-1.1229897657449861e-05,7.413338622086485e-06,,
2026-08-11 11:00:00-04:00,26610.435546875,26617.984375,26559.970703125,26561.072265625,120296000.0,26585.759087096896,26580.183208224782,,,,,,,,,,,,,,,,,,-0.0018293194928550305,-0.0011736106459463436,,
2026-08-11 11:10:00-04:00,26556.16015625,26566.130859375,26540.26171875,26550.357421875,121817000.0,26573.958532022934,26574.760337979365,,,,,,,,,,,,,,,,,,-0.0004034040359081059,-0.0020858603057934966,,
2026-08-11 11:20:00-04:00,26550.951171875,26567.185546875,26547.5546875,26548.16796875,112831000.0,26565.361677598623,26569.925361755842,,,,,,,,,,,,,,,,,,-8.246416762724973e-05,-0.0011761621343102657,,
2026-08-11 11:30:00-04:00,26547.037109375,26555.337890625,26510.658203125,26513.576171875,129959000.0,26548.099842357416,26559.68005450478,,,,,,,,,,,,,,,,,,-0.0013029824474410923,-0.003625421992763722,,
