timestamp,open,high,low,close,volume,sma3,sma6,sma12,sma24,sma60,rsi14,macd,macd_signal,macd_hist,bb_mid,bb_upper,bb_lower,bb_width,bb_percent_b,atr14,prev20_high,prev20_low,prev60_high,prev60_low,return_1,return_5,return_20,return_60
2019-05-31,2094.88,2095.58,2016.25,2041.74,6077504.0,,,,,,,,,,,,,,,,,,,,,,,
2019-06-30,2031.03,2141.27,2029.17,2130.62,11256676.0,,,,,,,,,,,,,,,,,,,,0.043531497644166084,,,
2019-07-31,2147.24,2147.24,2010.95,2024.55,11908944.0,2065.6366666666668,,,,,,,,,,,,,,,,,,,-0.04978363105574901,,,
2019-08-31,2015.09,2032.23,1891.81,1967.79,10472123.0,2040.9866666666667,,,,,,,,,,,,,,,,,,,-0.028035859820700892,,,
2019-09-30,1961.19,2101.63,1958.59,2063.05,8620775.0,2018.4633333333334,,,,,,,,,,,,,,,,,,,0.04840963720722247,,,
2019-10-31,2062.44,2105.17,2010.9,2083.48,8884382.0,2038.1066666666666,2051.8716666666664,,,,,,,,,,,,,,,,,,0.009902813795109155,0.020443347340993512,,
2019-11-30,2084.79,2165.89,2081.53,2087.96,10737638.0,2078.1633333333334,2059.5750000000003,,,,,,,,,,,,,,,,,,0.0021502486224969086,-0.020022340914851,,
2019-12-31,2097.55,2215.55,2053.56,2197.67,10188742.0,2123.036666666667,2070.7500000000005,,,,,,,,,,,,,,,,,,0.052544110040422254,0.08551036032698622,,
2020-01-31,2201.21,2277.23,2119.01,2119.01,13096053.0,2134.8800000000006,2086.4933333333333,,,,,,,,,,,,,,,,,,-0.03579245291604283,0.07684763109884707,,
2020-02-29,2086.61,2255.49,1980.82,1987.01,13959756.0,2101.23,2089.696666666667,,,,,,,,,,,,,,,,,,-0.06229324071146447,-0.03685804997455233,,
2020-03-31,1997.03,2089.08,1439.43,1754.64,17091015.0,1953.5533333333335,2038.295,,,,,,,,,,,,,,,,,,-0.11694455488397137,-0.1578320886209611,,
2020-04-30,1737.28,1957.51,1664.13,1947.56,21045110.0,1896.4033333333334,2015.6416666666667,2033.756666666667,,,,,,,,,,,,,,,,,0.10994847946017416,-0.0672426674840515,,
