"기준일","월물","투자자","방향","전체 추정 계약","추정 평단 구간","추정 평가손익(백만원)","현재가","산출방법"
"2026-09-02","F202609","외국인","순매도 프록시","-17555","1031.32","","1029.15","검증된 F202609 일별 순매매 18개 관측 누적 프록시; 현재 잔존 포지션 아님"
"2026-09-02","F202609","기관계","순매수 프록시","14627","1036.84","","1029.15","검증된 F202609 일별 순매매 18개 관측 누적 프록시; 현재 잔존 포지션 아님"
