asof_date,market,unit,investor,net,ocr_raw,source_png
20260910,선물,수량,개인,354,+354,0787_선물_수량_20260910.png
20260910,선물,수량,외국인,-7086,"-7,086",0787_선물_수량_20260910.png
20260910,선물,수량,기관계,6697,"+6,697",0787_선물_수량_20260910.png
20260910,선물,수량,금융투자,6717,"+6,717",0787_선물_수량_20260910.png
20260910,선물,수량,보험,141,+141,0787_선물_수량_20260910.png
20260910,선물,수량,투신,-593,-593,0787_선물_수량_20260910.png
20260910,선물,수량,은행,11,+11,0787_선물_수량_20260910.png
20260910,선물,수량,연기금등,422,+422,0787_선물_수량_20260910.png
20260910,선물,수량,기타법인,35,+35,0787_선물_수량_20260910.png
20260910,선물,금액,개인,968,+968,0787_선물_금액_20260910.png
20260910,선물,금액,외국인,-19475,"-19,475",0787_선물_금액_20260910.png
20260910,선물,금액,기관계,18409,"+18,409",0787_선물_금액_20260910.png
20260910,선물,금액,금융투자,18414,"+18,414",0787_선물_금액_20260910.png
20260910,선물,금액,보험,394,+394,0787_선물_금액_20260910.png
20260910,선물,금액,투신,-1613,"-1,613",0787_선물_금액_20260910.png
20260910,선물,금액,은행,31,+31,0787_선물_금액_20260910.png
20260910,선물,금액,연기금등,1186,"+1,186",0787_선물_금액_20260910.png
20260910,선물,금액,기타법인,97,+97,0787_선물_금액_20260910.png
20260910,콜옵션,수량,개인,12947,"+12,947",0787_콜옵션_수량_20260910.png
20260910,콜옵션,수량,외국인,1790,"+1,790",0787_콜옵션_수량_20260910.png
20260910,콜옵션,수량,기관계,-15447,"-15,447",0787_콜옵션_수량_20260910.png
20260910,콜옵션,수량,금융투자,-14722,"-14,722",0787_콜옵션_수량_20260910.png
20260910,콜옵션,수량,보험,-74,74,0787_콜옵션_수량_20260910.png
20260910,콜옵션,수량,투신,-651,-651,0787_콜옵션_수량_20260910.png
20260910,콜옵션,수량,은행,0,0,0787_콜옵션_수량_20260910.png
20260910,콜옵션,수량,연기금등,0,0,0787_콜옵션_수량_20260910.png
20260910,콜옵션,수량,기타법인,710,+710,0787_콜옵션_수량_20260910.png
20260910,콜옵션,금액,개인,26,+26,0787_콜옵션_금액_20260910.png
20260910,콜옵션,금액,외국인,19,+19,0787_콜옵션_금액_20260910.png
20260910,콜옵션,금액,기관계,-39,-39,0787_콜옵션_금액_20260910.png
20260910,콜옵션,금액,금융투자,0,0,0787_콜옵션_금액_20260910.png
20260910,콜옵션,금액,보험,-1,-1,0787_콜옵션_금액_20260910.png
20260910,콜옵션,금액,투신,-38,-38,0787_콜옵션_금액_20260910.png
20260910,콜옵션,금액,은행,0,0,0787_콜옵션_금액_20260910.png
20260910,콜옵션,금액,연기금등,0,0,0787_콜옵션_금액_20260910.png
20260910,콜옵션,금액,기타법인,-6,-6,0787_콜옵션_금액_20260910.png
20260910,풋옵션,수량,개인,15029,"+15,029",0787_풋옵션_수량_20260910.png
20260910,풋옵션,수량,외국인,-8936,"-8,936",0787_풋옵션_수량_20260910.png
20260910,풋옵션,수량,기관계,-6722,"-6,722",0787_풋옵션_수량_20260910.png
20260910,풋옵션,수량,금융투자,-6727,"-6,727",0787_풋옵션_수량_20260910.png
20260910,풋옵션,수량,보험,0,0,0787_풋옵션_수량_20260910.png
20260910,풋옵션,수량,투신,5,+5,0787_풋옵션_수량_20260910.png
20260910,풋옵션,수량,은행,0,0,0787_풋옵션_수량_20260910.png
20260910,풋옵션,수량,연기금등,0,0,0787_풋옵션_수량_20260910.png
20260910,풋옵션,수량,기타법인,629,+629,0787_풋옵션_수량_20260910.png
20260910,풋옵션,금액,개인,8,+8,0787_풋옵션_금액_20260910.png
20260910,풋옵션,금액,외국인,26,+26,0787_풋옵션_금액_20260910.png
20260910,풋옵션,금액,기관계,-31,-31,0787_풋옵션_금액_20260910.png
20260910,풋옵션,금액,금융투자,-31,-31,0787_풋옵션_금액_20260910.png
20260910,풋옵션,금액,보험,0,0,0787_풋옵션_금액_20260910.png
20260910,풋옵션,금액,투신,0,0,0787_풋옵션_금액_20260910.png
20260910,풋옵션,금액,은행,0,0,0787_풋옵션_금액_20260910.png
20260910,풋옵션,금액,연기금등,0,0,0787_풋옵션_금액_20260910.png
20260910,풋옵션,금액,기타법인,-4,4,0787_풋옵션_금액_20260910.png
