asof_date,market,unit,investor,net,ocr_raw,source_png
20260917,선물,수량,개인,947,+947,0787_선물_수량_20260917.png
20260917,선물,수량,외국인,802,+802,0787_선물_수량_20260917.png
20260917,선물,수량,기관계,-1791,"-1,791",0787_선물_수량_20260917.png
20260917,선물,수량,금융투자,-1061,"-1,061",0787_선물_수량_20260917.png
20260917,선물,수량,보험,-76,-76,0787_선물_수량_20260917.png
20260917,선물,수량,투신,-525,-525,0787_선물_수량_20260917.png
20260917,선물,수량,은행,3,+3,0787_선물_수량_20260917.png
20260917,선물,수량,연기금등,-135,-135,0787_선물_수량_20260917.png
20260917,선물,수량,기타법인,42,+42,0787_선물_수량_20260917.png
20260917,선물,금액,개인,2480,"+2,480",0787_선물_금액_20260917.png
20260917,선물,금액,외국인,2190,"+2,190",0787_선물_금액_20260917.png
20260917,선물,금액,기관계,-4778,"-4,778",0787_선물_금액_20260917.png
20260917,선물,금액,금융투자,-2843,"-2,843",0787_선물_금액_20260917.png
20260917,선물,금액,보험,-202,-202,0787_선물_금액_20260917.png
20260917,선물,금액,투신,-1387,"-1,387",0787_선물_금액_20260917.png
20260917,선물,금액,은행,8,+8,0787_선물_금액_20260917.png
20260917,선물,금액,연기금등,-363,-363,0787_선물_금액_20260917.png
20260917,선물,금액,기타법인,108,+108,0787_선물_금액_20260917.png
20260917,콜옵션,수량,개인,-299,-299,0787_콜옵션_수량_20260917.png
20260917,콜옵션,수량,외국인,-169,-169,0787_콜옵션_수량_20260917.png
20260917,콜옵션,수량,기관계,435,+435,0787_콜옵션_수량_20260917.png
20260917,콜옵션,수량,금융투자,435,+435,0787_콜옵션_수량_20260917.png
20260917,콜옵션,수량,보험,0,0,0787_콜옵션_수량_20260917.png
20260917,콜옵션,수량,투신,0,0,0787_콜옵션_수량_20260917.png
20260917,콜옵션,수량,은행,0,0,0787_콜옵션_수량_20260917.png
20260917,콜옵션,수량,연기금등,0,0,0787_콜옵션_수량_20260917.png
20260917,콜옵션,수량,기타법인,33,+33,0787_콜옵션_수량_20260917.png
20260917,콜옵션,금액,개인,-4,-4,0787_콜옵션_금액_20260917.png
20260917,콜옵션,금액,외국인,-42,-42,0787_콜옵션_금액_20260917.png
20260917,콜옵션,금액,기관계,51,+51,0787_콜옵션_금액_20260917.png
20260917,콜옵션,금액,금융투자,51,+51,0787_콜옵션_금액_20260917.png
20260917,콜옵션,금액,보험,0,0,0787_콜옵션_금액_20260917.png
20260917,콜옵션,금액,투신,0,0,0787_콜옵션_금액_20260917.png
20260917,콜옵션,금액,은행,0,0,0787_콜옵션_금액_20260917.png
20260917,콜옵션,금액,연기금등,0,0,0787_콜옵션_금액_20260917.png
20260917,콜옵션,금액,기타법인,-5,-5,0787_콜옵션_금액_20260917.png
20260917,풋옵션,수량,개인,-679,-679,0787_풋옵션_수량_20260917.png
20260917,풋옵션,수량,외국인,753,+753,0787_풋옵션_수량_20260917.png
20260917,풋옵션,수량,기관계,18,+18,0787_풋옵션_수량_20260917.png
20260917,풋옵션,수량,금융투자,18,+18,0787_풋옵션_수량_20260917.png
20260917,풋옵션,수량,보험,0,0,0787_풋옵션_수량_20260917.png
20260917,풋옵션,수량,투신,0,0,0787_풋옵션_수량_20260917.png
20260917,풋옵션,수량,은행,0,0,0787_풋옵션_수량_20260917.png
20260917,풋옵션,수량,연기금등,0,0,0787_풋옵션_수량_20260917.png
20260917,풋옵션,수량,기타법인,-92,-92,0787_풋옵션_수량_20260917.png
20260917,풋옵션,금액,개인,-7,-7,0787_풋옵션_금액_20260917.png
20260917,풋옵션,금액,외국인,11,+11,0787_풋옵션_금액_20260917.png
20260917,풋옵션,금액,기관계,-1,-1,0787_풋옵션_금액_20260917.png
20260917,풋옵션,금액,금융투자,-1,-1,0787_풋옵션_금액_20260917.png
20260917,풋옵션,금액,보험,0,0,0787_풋옵션_금액_20260917.png
20260917,풋옵션,금액,투신,0,0,0787_풋옵션_금액_20260917.png
20260917,풋옵션,금액,은행,0,0,0787_풋옵션_금액_20260917.png
20260917,풋옵션,금액,연기금등,0,0,0787_풋옵션_금액_20260917.png
20260917,풋옵션,금액,기타법인,-4,-4,0787_풋옵션_금액_20260917.png
