timestamp,open,high,low,close,volume,sma3,sma6,sma12,sma24,sma60,rsi14,macd,macd_signal,macd_hist,bb_mid,bb_upper,bb_lower,bb_width,bb_percent_b,atr14,prev20_high,prev20_low,prev60_high,prev60_low,return_1,return_5,return_20,return_60
2023-12-31,351.9,374.65,351.85,374.65,5,,,,,,,,,,,,,,,,,,,,,,,
2024-01-31,382.05,383.4,342.3,345.0,3,,,,,,,,,,,,,,,,,,,,-0.07914053116241815,,,
2024-02-29,345.0,379.3,345.0,375.15,0,364.93333333333334,,,,,,,,,,,,,,,,,,,0.08739130434782605,,,
2024-03-31,373.6,392.85,366.6,392.2,2,370.7833333333333,,,,,,,,,,,,,,,,,,,0.04544848727175799,,,
2024-04-30,393.6,395.3,367.9,380.4,0,382.5833333333333,,,,,,,,,,,,,,,,,,,-0.030086690464048993,,,
2024-05-31,382.25,391.85,374.6,374.6,0,382.40000000000003,373.6666666666667,,,,,,,,,,,,,,,,,,-0.01524710830704512,-0.00013345789403429453,,
2024-06-30,374.4,396.15,374.4,389.6,6,381.5333333333333,376.1583333333333,,,,,,,,,,,,,,,,,,0.0400427122263749,0.12927536231884074,,
2024-07-31,401.0,413.6,377.8,389.8,32,384.6666666666667,383.625,,,,,,,,,,,,,,,,,,0.0005133470225873182,0.039051046248167465,,
2024-08-31,387.4,388.5,332.95,366.7,321,382.0333333333333,382.2166666666667,,,,,,,,,,,,,,,,,,-0.05926115956900979,-0.06501784803671595,,
2024-09-30,374.8,374.8,338.55,349.4,17,368.6333333333334,375.0833333333333,,,,,,,,,,,,,,,,,,-0.047177529315516775,-0.08149316508937965,,
2024-10-31,341.4,360.9,341.4,354.35,263,356.81666666666666,370.74166666666673,,,,,,,,,,,,,,,,,,0.014167143674871374,-0.05405766150560598,,
2024-11-30,348.45,348.45,321.4,334.3,1825,346.01666666666665,364.02500000000003,368.8458333333333,,,,,,,,,,,,,,,,,-0.05658247495414137,-0.14194045174537995,,
2024-12-31,328.1,332.55,315.1,322.35,2612,337.00000000000006,352.81666666666666,364.4875,,,,,,,,,,,,,,,,,-0.03574633562668261,-0.1730374551051821,,
2025-01-31,321.55,341.05,319.85,338.6,1703,331.75000000000006,344.2833333333333,363.95416666666665,,,,,,,,,,,,26.794932856640994,,,,,0.05041104389638584,-0.07662939732751561,,
2025-02-28,325.8,356.5,323.5,350.0,16,336.98333333333335,341.5,361.85833333333335,,,21.00155093285062,,,,,,,,,27.238151938309496,,,,,0.0336680448907265,0.0017172295363481194,,
