timestamp,open,high,low,close,volume,open_interest
2026-08-24 08:55:00,1081.0,1081.0,1081.0,1081.0,1,8841
2026-08-24 09:05:00,1081.6,1090.45,1080.05,1084.75,51,8829
2026-08-24 09:15:00,1083.4,1083.4,1075.25,1077.5,7,8799
2026-08-24 09:25:00,1074.0,1074.1,1074.0,1074.1,2,8761
2026-08-24 09:35:00,1075.4,1079.8,1075.1,1079.8,8,8748
2026-08-24 09:45:00,1076.85,1082.05,1076.85,1082.05,4,8748
2026-08-24 10:25:00,1075.5,1075.5,1075.5,1075.5,1,8806
2026-08-24 10:45:00,1071.05,1071.05,1071.05,1071.05,1,8738
2026-08-24 11:05:00,1060.8,1063.8,1060.8,1063.8,3,8706
2026-08-24 11:55:00,1063.0,1063.45,1061.9,1062.7,11,8697
2026-08-24 12:05:00,1061.45,1061.45,1058.0,1058.0,5,8700
2026-08-24 12:15:00,1057.3,1057.3,1055.3,1055.45,7,8705
2026-08-24 12:25:00,1054.95,1054.95,1054.95,1054.95,1,8707
2026-08-24 13:05:00,1054.95,1054.95,1054.95,1054.95,1,8753
2026-08-24 13:15:00,1058.6,1058.6,1058.6,1058.6,1,8753
2026-08-24 14:25:00,1056.75,1056.75,1056.75,1056.75,1,8608
2026-08-24 15:05:00,1055.95,1056.0,1055.35,1056.0,8,8607
2026-08-24 15:25:00,1056.15,1056.15,1056.15,1056.15,1,8605
2026-08-25 08:45:00,1028.15,1028.15,1028.15,1028.15,1,8605
2026-08-25 08:55:00,1025.75,1025.75,1025.75,1025.75,1,8605
2026-08-25 09:05:00,1020.75,1020.75,1016.4,1016.4,2,8605
2026-08-25 09:15:00,1013.0,1021.4,1009.8,1021.4,12,8598
2026-08-25 09:25:00,1021.8,1028.8,1021.8,1028.8,7,8599
2026-08-25 09:35:00,1030.0,1030.0,1030.0,1030.0,1,8601
2026-08-25 09:45:00,1030.0,1030.0,1030.0,1030.0,1,8601
2026-08-25 09:55:00,1032.6,1032.6,1026.95,1029.4,9,8598
2026-08-25 10:05:00,1028.05,1028.05,1027.0,1027.0,2,8598
2026-08-25 10:25:00,1029.65,1029.65,1025.75,1025.75,4,8601
2026-08-25 10:35:00,1028.1,1028.1,1028.1,1028.1,1,8600
