timestamp,contract_code,contract_name,interval_min,close,open,high,low,volume,open_interest,open_interest_change
2026-09-01 08:45:00,A016C000,F 202612,10,1067.6,1069.8,1070.55,1067.6,13.0,8688.0,9.0
2026-09-01 08:55:00,A016C000,F 202612,10,1065.8,1066.5,1068.0,1063.6,12.0,8698.0,10.0
2026-09-01 09:05:00,A016C000,F 202612,10,1059.3,1066.6,1066.6,1059.3,18.0,8714.0,16.0
2026-09-01 09:15:00,A016C000,F 202612,10,1063.6,1060.65,1063.6,1060.65,2.0,8714.0,0.0
2026-09-01 09:25:00,A016C000,F 202612,10,1066.15,1068.0,1068.8,1066.15,5.0,8712.0,-2.0
2026-09-01 09:35:00,A016C000,F 202612,10,1071.1,1069.8,1071.1,1067.0,5.0,8704.0,-8.0
2026-09-01 09:45:00,A016C000,F 202612,10,1069.05,1073.6,1074.7,1069.0,10.0,8706.0,2.0
2026-09-01 09:55:00,A016C000,F 202612,10,1077.7,1077.55,1080.95,1077.05,14.0,8700.0,-6.0
2026-09-01 10:05:00,A016C000,F 202612,10,1076.75,1078.55,1078.55,1076.75,2.0,8701.0,1.0
2026-09-01 10:35:00,A016C000,F 202612,10,1075.5,1075.5,1075.5,1075.5,1.0,8901.0,200.0
2026-09-01 10:45:00,A016C000,F 202612,10,1076.0,1076.0,1076.0,1076.0,1.0,8902.0,1.0
2026-09-01 10:55:00,A016C000,F 202612,10,1070.8,1069.15,1071.15,1069.15,4.0,8903.0,1.0
2026-09-01 11:25:00,A016C000,F 202612,10,1068.5,1068.5,1068.5,1068.5,1.0,8996.0,93.0
2026-09-01 11:35:00,A016C000,F 202612,10,1064.45,1065.6,1065.6,1064.45,2.0,8998.0,2.0
2026-09-01 11:45:00,A016C000,F 202612,10,1067.9,1064.8,1067.9,1064.8,3.0,9006.0,8.0
2026-09-01 12:05:00,A016C000,F 202612,10,1070.3,1070.0,1070.45,1070.0,7.0,8802.0,-204.0
2026-09-01 12:25:00,A016C000,F 202612,10,1071.8,1070.3,1071.8,1070.3,2.0,8803.0,1.0
2026-09-01 12:45:00,A016C000,F 202612,10,1072.65,1072.65,1072.65,1072.65,1.0,8800.0,-3.0
2026-09-01 13:15:00,A016C000,F 202612,10,1074.7,1074.8,1074.8,1074.45,3.0,8801.0,1.0
2026-09-01 13:35:00,A016C000,F 202612,10,1075.0,1074.95,1075.0,1074.95,10.0,8802.0,1.0
2026-09-01 13:45:00,A016C000,F 202612,10,1079.6,1074.7,1079.6,1074.7,3.0,8813.0,11.0
2026-09-01 13:55:00,A016C000,F 202612,10,1072.7,1072.7,1072.7,1072.7,1.0,8813.0,0.0
2026-09-01 14:15:00,A016C000,F 202612,10,1074.45,1070.0,1074.45,1070.0,3.0,8814.0,1.0
2026-09-01 14:25:00,A016C000,F 202612,10,1074.35,1073.15,1075.15,1073.15,6.0,8818.0,4.0
2026-09-01 14:35:00,A016C000,F 202612,10,1079.9,1079.0,1079.9,1079.0,3.0,8820.0,2.0
2026-09-01 14:45:00,A016C000,F 202612,10,1077.25,1080.9,1080.9,1077.25,4.0,8822.0,2.0
2026-09-01 14:55:00,A016C000,F 202612,10,1080.0,1080.0,1080.0,1080.0,1.0,8823.0,1.0
2026-09-01 15:05:00,A016C000,F 202612,10,1078.0,1078.0,1078.0,1078.0,1.0,8820.0,-3.0
2026-09-01 15:15:00,A016C000,F 202612,10,1077.5,1077.5,1077.5,1077.3,3.0,8821.0,1.0
2026-09-01 15:25:00,A016C000,F 202612,10,1076.95,1077.2,1077.2,1076.95,3.0,8824.0,3.0
2026-09-02 08:45:00,A016C000,F 202612,10,1041.15,1041.15,1041.15,1041.15,1.0,8841.0,17.0
2026-09-02 08:55:00,A016C000,F 202612,10,1042.85,1043.9,1046.55,1042.0,22.0,8853.0,12.0
2026-09-02 09:05:00,A016C000,F 202612,10,1047.3,1046.0,1049.4,1045.6,9.0,8862.0,9.0
2026-09-02 09:15:00,A016C000,F 202612,10,1050.95,1046.65,1050.95,1046.65,5.0,8864.0,2.0
2026-09-02 09:25:00,A016C000,F 202612,10,1050.25,1050.55,1052.15,1048.0,11.0,8880.0,16.0
2026-09-02 09:35:00,A016C000,F 202612,10,1050.75,1052.15,1052.15,1050.75,3.0,8883.0,3.0
2026-09-02 09:45:00,A016C000,F 202612,10,1047.05,1051.45,1051.45,1046.6,5.0,8889.0,6.0
2026-09-02 09:55:00,A016C000,F 202612,10,1051.5,1046.85,1051.5,1046.85,4.0,8898.0,9.0
2026-09-02 10:05:00,A016C000,F 202612,10,1051.0,1051.5,1051.5,1049.1,4.0,9011.0,113.0
2026-09-02 10:15:00,A016C000,F 202612,10,1051.1,1049.0,1051.1,1049.0,3.0,9042.0,31.0
2026-09-02 10:25:00,A016C000,F 202612,10,1047.0,1049.5,1049.5,1045.0,6.0,9031.0,-11.0
2026-09-02 10:35:00,A016C000,F 202612,10,1044.8,1042.35,1045.0,1041.6,8.0,9036.0,5.0
2026-09-02 10:45:00,A016C000,F 202612,10,1041.3,1041.3,1041.3,1041.3,1.0,9063.0,27.0
2026-09-02 10:55:00,A016C000,F 202612,10,1041.55,1041.55,1041.55,1041.55,1.0,9045.0,-18.0
2026-09-02 11:05:00,A016C000,F 202612,10,1041.45,1041.45,1041.45,1041.45,1.0,9046.0,1.0
2026-09-02 12:05:00,A016C000,F 202612,10,1042.25,1042.25,1042.25,1042.25,1.0,9119.0,73.0
2026-09-02 12:15:00,A016C000,F 202612,10,1040.6,1041.3,1041.3,1040.6,5.0,9124.0,5.0
2026-09-02 12:25:00,A016C000,F 202612,10,1037.75,1040.15,1040.15,1037.75,6.0,9130.0,6.0
2026-09-02 12:45:00,A016C000,F 202612,10,1038.15,1039.75,1040.0,1037.1,20.0,9164.0,34.0
2026-09-02 12:55:00,A016C000,F 202612,10,1035.45,1037.4,1037.7,1035.45,8.0,9172.0,8.0
2026-09-02 13:05:00,A016C000,F 202612,10,1033.0,1034.2,1034.6,1033.0,6.0,9176.0,4.0
2026-09-02 13:15:00,A016C000,F 202612,10,1034.3,1034.85,1034.85,1033.95,3.0,9179.0,3.0
