timestamp,open,high,low,close,volume,ema5,ema10,ema20,ema60,ema120,rsi14,macd,macd_signal,macd_hist,bb_mid,bb_upper,bb_lower,bb_width,bb_percent_b,atr14,prev20_high,prev20_low,prev60_high,prev60_low,return_1,return_5,return_20,return_60
2026-08-11 09:30:00-04:00,53961.6015625,54159.25,53961.6015625,54120.6484375,7187954.0,,,,,,,,,,,,,,,,,,,,,,,
2026-08-11 09:40:00-04:00,54121.12890625,54195.76953125,54098.4296875,54189.66015625,12893654.0,,,,,,,,,,,,,,,,,,,,0.0012751458222031165,,,
2026-08-11 09:50:00-04:00,54186.33984375,54222.8515625,54167.08984375,54170.640625,9845347.0,,,,,,,,,,,,,,,,,,,,-0.0003509808180224283,,,
2026-08-11 10:00:00-04:00,54169.26953125,54197.16015625,54036.51171875,54070.8203125,8832314.0,,,,,,,,,,,,,,,,,,,,-0.0018427013479683785,,,
2026-08-11 10:10:00-04:00,54074.23828125,54080.71875,54017.6796875,54045.73046875,8836363.0,54098.82508680556,,,,,,,,,,,,,,,,,,,-0.00046401818217278734,,,
2026-08-11 10:20:00-04:00,54045.4609375,54067.390625,54023.859375,54049.578125,8340997.0,54082.40943287038,,,,,,,,,,,,,,,,,,,7.119260331256427e-05,-0.0013131829449913868,,
2026-08-11 10:30:00-04:00,54048.2109375,54050.19921875,53956.671875,53989.73046875,8131789.0,54051.51644483025,,,,,,,,,,,,,,,,,,,-0.0011072733280469427,-0.003689443464371722,,
2026-08-11 10:40:00-04:00,53988.609375,54016.94140625,53951.83984375,54010.01171875,7055125.0,54037.681536136835,,,,,,,,,,,,,,,,,,,0.00037565014353502235,-0.0029652391848559168,,
2026-08-11 10:50:00-04:00,54011.140625,54011.3515625,53953.48828125,53983.30078125,6313222.0,54019.554617841226,,,,,,,,,,,,,,,,,,,-0.0004945552991006963,-0.0016186092747286773,,
2026-08-11 11:00:00-04:00,53983.26953125,54006.328125,53933.01953125,53942.73828125,6125859.0,53993.94917231082,54032.61412497748,,,,,,,,,,,,,,,,,,-0.0007513897707804862,-0.0019056489126287879,,
2026-08-11 11:10:00-04:00,53942.05078125,53956.8984375,53915.5390625,53936.44140625,6547121.0,53974.779916957224,54015.128176117934,,,,,,,,,,,,,,,,,,-0.00011673257978062068,-0.0020932026238641432,,
2026-08-11 11:20:00-04:00,53935.55078125,53965.01171875,53927.73046875,53961.26953125,5479551.0,53970.27645505482,54005.335695232854,,,,,,,,,,,,,,,,,,0.0004603218965262279,-0.0005271546505769553,,
2026-08-11 11:30:00-04:00,53962.69921875,53964.78125,53911.94140625,53925.671875,7259489.0,53955.408261703225,53990.85136428142,,,,,,,,,,,,,,,,,,-0.0006596890058226945,-0.0015615594417788259,,
2026-08-11 11:40:00-04:00,53925.6796875,53945.08984375,53923.1796875,53935.62890625,5026831.0,53948.815143218824,53980.810917366616,,,,,,,,,,,,,112.97478151389646,,,,,0.0001846436197046053,-0.000883085589619137,,
2026-08-11 11:50:00-04:00,53937.109375,53949.19921875,53915.80859375,53943.26171875,5008303.0,53946.964001729226,53973.98379034541,,,,70.26357069184016,,,,,,,,,107.290198905761,,,,,0.0001415170760921125,9.703576731245889e-06,,
2026-08-11 12:00:00-04:00,53943.890625,53966.83984375,53932.41015625,53936.0,4564954.0,53943.309334486155,53967.07764664624,,,,69.35508944555846,,,,,,,,,102.08587666249235,,,,,-0.00013461771718326077,-8.183822263641005e-06,,
2026-08-11 12:10:00-04:00,53938.640625,53960.421875,53911.28125,53936.51953125,4543799.0,53941.046066740775,53961.521625665104,,,,69.3855872530034,,,,,,,,,98.30407297231433,,,,,9.632365210565652e-06,-0.00045866230010893627,,
2026-08-11 12:20:00-04:00,53936.4609375,53950.19140625,53893.44921875,53911.6796875,4973107.0,53931.25727366052,53952.45945508963,,,,66.00339417213787,,,,,,,,,95.33536686714902,,,,,-0.00046053849907035094,-0.00025947173235840726,,
2026-08-11 12:30:00-04:00,53911.44140625,53915.48046875,53880.44140625,53898.37890625,4670616.0,53920.29781785702,53942.62662802787,,,,64.19884258658726,,,,,,,,,91.02848798378123,,,,,-0.00024671428022826625,-0.0006906380949918134,,
2026-08-11 12:40:00-04:00,53896.12109375,53903.44921875,53883.87890625,53901.94140625,5271294.0,53914.17901398802,53935.22931497735,53977.13257806002,,,64.47896704134091,,,,53992.9826171875,54164.02909364882,53821.93614072618,0.006335878040820503,0.23386996089893045,85.92433259208256,,,,,6.609660758427616e-05,-0.000765995810847242,,
2026-08-11 12:50:00-04:00,53902.26171875,53909.03125,53881.62890625,53890.0,5091304.0,53906.11934265868,53927.00580316328,53968.834237292394,,,62.70779491011218,,,,53981.4501953125,54147.54138004536,53815.35901057964,0.006153639227250079,0.2246988289607678,81.74419053193381,54222.8515625,53880.44140625,,,-0.00022153944623259925,-0.0008528626520319937,-0.004261745639769221,
