timestamp,open,high,low,close,volume,sma5,sma10,sma20,sma60,sma120,sma240,rsi14,macd,macd_signal,macd_hist,bb_mid,bb_upper,bb_lower,bb_width,bb_percent_b,atr14,prev20_high,prev20_low,prev60_high,prev60_low,return_1,return_5,return_20,return_60
2023-12-15,351.9,352.7,351.85,352.25,5,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-18,352.25,352.25,352.25,352.25,0,,,,,,,,,,,,,,,,,,,,,0.0,,,
2023-12-19,361.8,361.8,361.8,361.8,0,,,,,,,,,,,,,,,,,,,,,0.027111426543648065,,,
2023-12-20,362.15,362.15,362.15,362.15,0,,,,,,,,,,,,,,,,,,,,,0.0009673852957434725,,,
2023-12-21,369.7,369.7,369.7,369.7,0,359.63,,,,,,,,,,,,,,,,,,,,0.020847715035206438,,,
2023-12-22,366.8,366.8,366.8,366.8,0,362.54,,,,,,,,,,,,,,,,,,,,-0.00784419799837699,0.041305890702626025,,
2023-12-26,368.65,368.65,368.65,368.65,0,365.82,,,,,,,,,,,,,,,,,,,,0.005043620501635759,0.04655784244144767,,
2023-12-27,370.1,370.1,370.1,370.1,0,367.48,,,,,,,,,,,,,,,,,,,,0.003933270039332859,0.022940851299060316,,
2023-12-28,374.65,374.65,374.65,374.65,0,369.97999999999996,,,,,,,,,,,,,,,,,,,,0.012293974601458979,0.03451608449537491,,
2024-01-02,382.05,382.05,382.05,382.05,0,372.45,366.04,,,,,,,,,,,,,,,,,,,0.01975176831709602,0.033405463889640385,,
2024-01-03,383.4,383.4,383.4,383.4,0,375.77,369.15500000000003,,,,,,,,,,,,,,,,,,,0.0035335689045934426,0.04525627044711,,
2024-01-04,372.2,372.2,372.2,372.2,0,376.48,371.15,,,,,,,,,,,,,,,,,,,-0.029212310902451688,0.009629730096297306,,
2024-01-05,368.6,368.6,368.6,368.6,0,376.17999999999995,371.83,,,,,,,,,,,,,,,,,,,-0.00967221923696926,-0.004052958659821693,,
2024-01-08,356.7,356.7,356.7,356.7,1,372.59000000000003,371.285,,,,,,,,,,,,,,3.6476192680527073,,,,,-0.03228431904503537,-0.04791138395836114,,
2024-01-09,356.7,356.7,356.7,356.7,1,367.52000000000004,369.985,,,,,43.0359199953828,,,,,,,,,3.3870750346203713,,,,,0.0,-0.06635257165292507,,
2024-01-10,356.7,356.7,356.7,356.7,0,362.18,368.975,,,,,43.0359199953828,,,,,,,,,3.145141103576059,,,,,0.0,-0.06964006259780908,,
2024-01-11,359.95,359.95,359.95,359.95,0,359.72999999999996,368.105,,,,,47.60698733910585,,,,,,,,,3.1526310247491978,,,,,0.00911129800953181,-0.03291241268135414,,
2024-01-12,360.65,360.65,360.65,360.65,0,358.14,367.15999999999997,,,,,48.56435788104713,,,,,,,,,2.977443094409969,,,,,0.0019447145436866098,-0.021568095496473316,,
2024-01-15,356.8,356.8,356.8,356.8,0,358.15999999999997,365.375,,,,,43.82148827870474,,,,,,,,,3.0397685876663973,,,,,-0.010675169832247255,0.0002803476310626607,,
2024-01-16,358.1,358.1,358.1,358.1,0,358.43999999999994,362.97999999999996,364.51,,,,45.74814967118752,,,,364.51,382.1535710671054,346.86642893289456,0.09680706190285823,0.31834743160496753,2.9154994028330843,,,,,0.003643497757847669,0.003924866834875251,,
2024-01-17,352.05,352.05,352.05,352.05,0,357.51000000000005,359.84499999999997,364.5,,,,39.038168452301264,,,,364.5,382.1715590710045,346.8284409289955,0.09696328708370086,0.14773906054424008,3.1393923026307218,383.4,351.85,,,-0.016894722144652374,-0.01303616484440695,-0.000567778566359034,
2024-01-18,342.3,342.3,342.3,342.3,0,353.98,356.855,364.0025,,,,31.11714296207819,,,,364.0025,383.4922274224141,344.5127725775859,0.10708567893030456,-0.0567676635395399,3.611578566728528,383.4,352.05,,,-0.027694929697486104,-0.049034588137241264,-0.028246983676366133,
2024-01-19,344.15,344.15,344.15,344.15,0,350.68,354.40999999999997,363.12,,,,33.85942269825064,,,,363.12,384.4410787719571,341.7989212280429,0.11743268766224446,0.055135080103202186,3.4857515262479164,383.4,342.3,,,0.0054046158340634864,-0.04575072785248857,-0.04878385848535116,
2024-01-22,349.1,349.1,349.1,349.1,0,349.14,353.65,362.46750000000003,,,,40.66591005406802,,,,362.46750000000003,384.6487820864801,340.28621791352,0.12239046031150407,0.19867611917374756,3.590340702944497,383.4,342.3,,,0.014383263112015321,-0.021580717488789203,-0.036034792213171185,
