timestamp,open,high,low,close,volume,sma3,sma6,sma12,sma24,sma60,rsi14,macd,macd_signal,macd_hist,bb_mid,bb_upper,bb_lower,bb_width,bb_percent_b,atr14,prev20_high,prev20_low,prev60_high,prev60_low,return_1,return_5,return_20,return_60
2014-09-30,15526.9404296875,16374.1396484375,15516.5,16173.51953125,2455300000.0,,,,,,,,,,,,,,,,,,,,,,,
2014-10-31,16173.3896484375,16533.91015625,14529.0302734375,16413.759765625,3436700000.0,,,,,,,,,,,,,,,,,,,,0.014853924274850216,,,
2014-11-30,16732.849609375,17520.5390625,16713.369140625,17459.849609375,3155400000.0,16682.376302083332,,,,,,,,,,,,,,,,,,,0.06373249387631486,,,
2014-12-31,17475.099609375,18030.830078125,16672.939453125,17450.76953125,2962900000.0,17108.126302083332,,,,,,,,,,,,,,,,,,,-0.0005200547729875549,,,
2015-01-31,17325.6796875,17850.58984375,16592.5703125,17674.390625,2691500000.0,17528.336588541668,,,,,,,,,,,,,,,,,,,0.012814397287727042,,,
2015-02-28,17536.609375,18865.390625,17271.869140625,18797.939453125,2975400000.0,17974.366536458332,17328.371419270832,,,,,,,,,,,,,,,,,,0.06356931064631821,0.16226647000389582,,
2015-03-31,18869.400390625,19778.599609375,18577.060546875,19206.990234375,3191800000.0,18559.7734375,17833.949869791668,,,,,,,,,,,,,,,,,,0.021760405297081675,0.17017615151159982,,
2015-04-30,19129.75,20252.119140625,18927.94921875,19520.009765625,3047400000.0,19174.979817708332,18351.658203125,,,,,,,,,,,,,,,,,,0.016297167199563978,0.11799415243209221,,
2015-05-31,19510.849609375,20655.330078125,19257.849609375,20563.150390625,3291500000.0,19763.383463541668,18868.875,,,,,,,,,,,,,,,,,,0.05343955446359372,0.1783520694489431,,
2015-06-30,20444.5390625,20952.7109375,19990.55078125,20235.73046875,3459500000.0,20106.296875,19333.03515625,,,,,,,,,,,,,,,,,,-0.015922653662265418,0.14491814162617,,
2015-07-31,20291.05078125,20850.0,19115.19921875,20585.240234375,3318200000.0,20461.373697916668,19818.1767578125,,,,,,,,,,,,,,,,,,0.017271912479994045,0.09507961155566313,,
2015-08-31,20540.2109375,20946.9296875,17714.30078125,18890.48046875,3723100000.0,19903.817057291668,19833.600260416668,18580.98583984375,,,,,,,,,,,,,,,,,-0.08232887964042046,-0.016478884081407963,,
