asof_date,market,unit,investor,net,ocr_raw,source_png
20260915,선물,수량,개인,-87,-87,0787_선물_수량_20260915.png
20260915,선물,수량,외국인,-6218,"-6,218",0787_선물_수량_20260915.png
20260915,선물,수량,기관계,6052,"+6,052",0787_선물_수량_20260915.png
20260915,선물,수량,금융투자,4915,"+4,915",0787_선물_수량_20260915.png
20260915,선물,수량,보험,-204,-204,0787_선물_수량_20260915.png
20260915,선물,수량,투신,1283,"+1,283",0787_선물_수량_20260915.png
20260915,선물,수량,은행,-3,-3,0787_선물_수량_20260915.png
20260915,선물,수량,연기금등,59,+59,0787_선물_수량_20260915.png
20260915,선물,수량,기타법인,253,+253,0787_선물_수량_20260915.png
20260915,선물,금액,개인,-281,-281,0787_선물_금액_20260915.png
20260915,선물,금액,외국인,-16195,"-16,195",0787_선물_금액_20260915.png
20260915,선물,금액,기관계,15818,"+15,818",0787_선물_금액_20260915.png
20260915,선물,금액,금융투자,12837,"+12,837",0787_선물_금액_20260915.png
20260915,선물,금액,보험,-529,-529,0787_선물_금액_20260915.png
20260915,선물,금액,투신,3363,"+3,363",0787_선물_금액_20260915.png
20260915,선물,금액,은행,-8,-8,0787_선물_금액_20260915.png
20260915,선물,금액,연기금등,151,+151,0787_선물_금액_20260915.png
20260915,선물,금액,기타법인,658,+658,0787_선물_금액_20260915.png
20260915,콜옵션,수량,개인,-1072,"-1,072",0787_콜옵션_수량_20260915.png
20260915,콜옵션,수량,외국인,371,+371,0787_콜옵션_수량_20260915.png
20260915,콜옵션,수량,기관계,1075,"+1,075",0787_콜옵션_수량_20260915.png
20260915,콜옵션,수량,금융투자,1075,"+1,075",0787_콜옵션_수량_20260915.png
20260915,콜옵션,수량,보험,0,0,0787_콜옵션_수량_20260915.png
20260915,콜옵션,수량,투신,0,0,0787_콜옵션_수량_20260915.png
20260915,콜옵션,수량,은행,0,0,0787_콜옵션_수량_20260915.png
20260915,콜옵션,수량,연기금등,0,0,0787_콜옵션_수량_20260915.png
20260915,콜옵션,수량,기타법인,-374,-374,0787_콜옵션_수량_20260915.png
20260915,콜옵션,금액,개인,-6,-6,0787_콜옵션_금액_20260915.png
20260915,콜옵션,금액,외국인,-106,-106,0787_콜옵션_금액_20260915.png
20260915,콜옵션,금액,기관계,114,+114,0787_콜옵션_금액_20260915.png
20260915,콜옵션,금액,금융투자,114,+114,0787_콜옵션_금액_20260915.png
20260915,콜옵션,금액,보험,0,0,0787_콜옵션_금액_20260915.png
20260915,콜옵션,금액,투신,0,0,0787_콜옵션_금액_20260915.png
20260915,콜옵션,금액,은행,0,0,0787_콜옵션_금액_20260915.png
20260915,콜옵션,금액,연기금등,0,0,0787_콜옵션_금액_20260915.png
20260915,콜옵션,금액,기타법인,-2,4,0787_콜옵션_금액_20260915.png
20260915,풋옵션,수량,개인,-569,-569,0787_풋옵션_수량_20260915.png
20260915,풋옵션,수량,외국인,832,+832,0787_풋옵션_수량_20260915.png
20260915,풋옵션,수량,기관계,-182,-182,0787_풋옵션_수량_20260915.png
20260915,풋옵션,수량,금융투자,-184,-184,0787_풋옵션_수량_20260915.png
20260915,풋옵션,수량,보험,0,0,0787_풋옵션_수량_20260915.png
20260915,풋옵션,수량,투신,2,+2,0787_풋옵션_수량_20260915.png
20260915,풋옵션,수량,은행,0,0,0787_풋옵션_수량_20260915.png
20260915,풋옵션,수량,연기금등,0,0,0787_풋옵션_수량_20260915.png
20260915,풋옵션,수량,기타법인,-81,-81,0787_풋옵션_수량_20260915.png
20260915,풋옵션,금액,개인,-18,-18,0787_풋옵션_금액_20260915.png
20260915,풋옵션,금액,외국인,-164,-164,0787_풋옵션_금액_20260915.png
20260915,풋옵션,금액,기관계,183,+183,0787_풋옵션_금액_20260915.png
20260915,풋옵션,금액,금융투자,183,+183,0787_풋옵션_금액_20260915.png
20260915,풋옵션,금액,보험,0,0,0787_풋옵션_금액_20260915.png
20260915,풋옵션,금액,투신,0,0,0787_풋옵션_금액_20260915.png
20260915,풋옵션,금액,은행,0,0,0787_풋옵션_금액_20260915.png
20260915,풋옵션,금액,연기금등,0,0,0787_풋옵션_금액_20260915.png
20260915,풋옵션,금액,기타법인,-1,-1,0787_풋옵션_금액_20260915.png
